N,종목명,현재가,전일비,등락률,거래량,거래대금,매수호가,매도호가,시가총액,PER,ROE
56,KODEX WTI원유선물인버스(H),"4,940",60,+1.23%,"2,622,871","12,967","4,940","4,945","1,526",N/A,N/A
57,비비안,"2,725",55,-1.98%,"2,568,968","7,086","2,705","2,720",812,-24.12,-3.32
58,STX엔진,"12,650",400,+3.27%,"2,564,128","35,603","12,650","12,700","2,911",351.39,0.37
59,일동제약,"73,500","2,000",-2.65%,"2,549,374","187,909","73,700","73,800","18,965",-17.55,-48.94
60,흥아해운,"3,110",165,+5.60%,"2,509,879","7,658","3,085","3,090","7,477",26.36,42.88
61,삼성 인버스 2X 천연가스 선물 ETN B,"1,565",140,-8.21%,"2,505,613","3,930","1,565","1,570",548,N/A,N/A
62,삼성중공업,"5,470",60,+1.11%,"2,505,593","13,705","5,470","5,480","48,136",-2.66,-36.89
63,한농화성,"17,150","1,150",+7.19%,"2,479,757","42,684","16,950","17,000","2,682",13.61,14.14
64,일진디스플,"1,950",50,-2.50%,"2,380,497","4,590","1,940","1,945","1,005",-1.82,-223.37
65,이수페타시스,"7,690",160,+2.12%,"2,290,933","17,213","7,680","7,690","4,864",-105.34,-3.78
66,윌비스,"1,410",15,-1.05%,"2,281,679","3,302","1,405","1,410",948,-10.85,-8.01
67,후성,"19,700",850,+4.51%,"2,275,252","44,431","19,650","19,700","18,244",80.74,9.61
68,코스모신소재,"44,700","2,800",+6.68%,"2,228,411","98,255","44,650","44,700","13,449",74.01,9.42
69,팬오션,"6,390",60,+0.95%,"2,161,470","13,710","6,370","6,380","34,159",6.22,17.16
70,신일전자,"2,300",5,-0.22%,"2,142,469","4,910","2,300","2,305","1,634",20.54,10.11
71,대한항공,"31,650",150,-0.47%,"2,104,735","65,959","31,650","31,700","110,085",16.61,11.60
72,유니온머티리얼,"3,045",105,-3.33%,"2,035,733","6,286","3,045","3,055","1,279",234.23,0.65
73,대동,"14,350",0,0.00%,"2,025,647","29,876","14,300","14,350","3,405",10.15,10.06
74,대원전선,"1,970",55,-2.72%,"2,022,011","4,028","1,970","1,975","1,399",109.44,1.51
75,KODEX 코스닥150,"12,970",85,+0.66%,"2,007,916","25,942","12,980","12,990","5,882",N/A,N/A
76,KODEX 단기채권PLUS,"103,715",5,0.00%,"1,963,237","203,617","103,710","103,715","11,814",N/A,N/A
77,삼성 레버리지 WTI원유 선물 ETN,"1,860",55,-2.87%,"1,962,098","3,641","1,855","1,865","9,374",N/A,N/A
78,사조동아원,"1,320",20,-1.49%,"1,902,930","2,533","1,325","1,330","1,863",77.65,1.13
79,신한 레버리지 WTI원유 선물 ETN(H),"1,455",40,-2.68%,"1,874,371","2,717","1,445","1,450","8,439",N/A,N/A
80,포스코케미칼,"138,500","14,500",+11.69%,"1,842,566","247,769","138,000","138,500","107,287",78.56,7.92
81,LG디스플레이,"18,800",400,+2.17%,"1,770,229","33,037","18,800","18,850","67,269",5.67,9.68
82,TIGER 차이나항셍테크,"5,915",155,-2.55%,"1,767,634","10,487","5,915","5,920","3,318",N/A,N/A
83,SG세계물산,715,9,-1.24%,"1,749,962","1,257",718,720,"1,447",3.08,21.32
84,퍼스텍,"3,885",55,+1.44%,"1,739,306","6,810","3,875","3,880","1,867",47.96,8.79
85,GS글로벌,"2,730",50,-1.80%,"1,690,174","4,631","2,745","2,750","2,253",9.65,7.56
86,일동홀딩스,"26,250","2,750",+11.70%,"1,568,605","38,491","24,750","24,800","3,029",-4.27,-80.54
87,이스타코,"1,965",20,+1.03%,"1,566,060","3,027","1,960","1,965",842,56.14,3.02
88,TIGER 여행레저,"5,295",0,0.00%,"1,541,728","8,090","5,290","5,295","2,389",N/A,N/A
89,한화생명,"3,105",40,-1.27%,"1,509,294","4,666","3,105","3,110","26,968",2.26,10.79
90,대우건설,"6,620",100,+1.53%,"1,508,208","9,849","6,620","6,630","27,514",5.68,16.47
91,TIGER 미국필라델피아반도체나스닥,"10,560",75,+0.72%,"1,480,644","15,583","10,545","10,550","12,091",N/A,N/A
92,참엔지니어링,"1,600",45,+2.89%,"1,385,205","2,222","1,600","1,605",922,-44.44,-2.55
93,미래산업,"15,650",800,-4.86%,"1,345,145","21,829","15,450","15,500",697,8.53,10.07
94,삼성전자우,"61,900",100,-0.16%,"1,334,731","82,506","61,600","61,700","509,367",10.71,N/A
95,인스코비,"3,140",210,+7.17%,"1,314,995","4,045","3,135","3,140","3,449",62.80,9.75
96,STX중공업,"4,990",40,+0.81%,"1,301,436","6,700","5,020","5,030","1,415",-18.08,-4.78
97,일성건설,"5,240",40,+0.77%,"1,291,804","6,777","5,220","5,240","2,831",49.90,5.67
98,TIGER 화장품,"2,855",35,-1.21%,"1,273,287","3,632","2,860","2,865",691,N/A,N/A
99,SK텔레콤,"60,200","2,200",+3.79%,"1,261,518","75,156","60,300","60,400","131,738",8.80,13.63
100,티웨이항공,"3,490",100,-2.79%,"1,253,476","4,321","3,485","3,490","3,851",-3.29,-190.16
